Question,Equation,Type
"Bryan also read his book.If there are number0 books in each of the number1 bookshelves in Bryan, how many books do he have?",* number0 number1,General
"For the fifth grade, the chair is placed in number0 lines, number1 chairs per line.How many chairs have been extended in this play?",* number0 number1,General
"The park currently has number0 short trees and number1 tall trees.Park workers will plant number2 short trees today.After the workers are completed, how many short trees will there be in the park?",+ number0 number2,General
"Conner has $ number0 in his bank account.He spends $ number1 a month.He did not add money to his account.number2 months later, how much is Conner in his account?",- number0 * number1 number2,General
"There are currently number0 wooden trees in the park.Park workers will grow number1 mountains and Wood trees today.After the workers are completed, how many mountains will there be in the park?",+ number0 number1,General
Maggie has number0 packets of paper cup cakes.There are number1 paper cup cakes in each packaging.She ate number2 paper cup cakes.how much is left?,* number0 number1,General
"You deposit $ number0 into a savings account with an annual interest rate of number1 %.In the past number2 years, how much will you have a simple interest in US dollars?",* * * number0 number1 number2 0.01,General
Emily collected number0 cards.Emily's father gave Emily number1 again.Bruce has number2 apples.How many cards do Emily have?,+ number0 number1,General
"Chefs need to cook number0 potatoes.He has cooked number1.If each potato takes number2 minutes to cook, how long does it take for his remaining time?",* number2 - number0 number1,General
It takes number0 apples to make number1 pie.How many apples do you need to make number2 pie?,* number0 number2,General
"Isabel baked number0 Brownie cakes, but her party needed a total of number1.If she uses number2 cups of flour on each flour, how many cups of flour does she still need?",* number1 - number1 number0,General
Mary is baking cake.The recipe requires number0 cups of flour and number1 cups of sugar.She has put number2 cups of flour.How many cups of flour do she need to add?,- number0 number2,General
"Rachel bought two color books.One has number0 photos and the other has number1 photos.A week later, she has coloring number2 of them.She still has to color some photos?",- + number0 number1 number2,General
"Sean has number0 apples.Susan gave Sean number1 again.Later, Sean bought number2 tickets at the store.How many apples do Sean have?",+ number0 number1,General
DVD books can accommodate number0 DVDs.There are already number1 DVDs in this book.How many DVDs can I place this book?,- number0 number1,General
Amy started from number0 peanuts.Gerald gave Amy number1 again.How many peanuts have Amy ended?,+ number0 number1,General
"Frank made a $ number0 trimming lawn throughout the summer.If he spent $ number1 to buy a new cutting machine blade, can he use the remaining money to buy a $ number2 game of $ number2?",/ - number0 number1 number2,General
James has number0 balloon.Amy has number1 gas balls.James's balloon is better than Amy?,- number0 number1,General
Bess has number0 palaces.There are number1 crayons in each packaging.She also has number2 extra crayons.How many crayons have Beth?,* number0 number1,General
"Biaka has number0 color books.If she gave number1 of them, but I bought number2 more, how much is she in total?",- + number0 number2 number1,General
"A company invited number0 people to participate in lunch, but number1 of them did not appear.How many tables do they need if each of their tables hold number2 people?",/ - number0 number1 number2,General
"The oil pipes at the sea rupture.Before the engineer started repairing the pipeline, number0 liters of oil leaked into the water.When engineers work, the pipeline leaked number1 liters of oil.In general, how many oils are there?",+ number0 number1,General
Sara saved number0 quarters from the car washing.How much beauty is Sara?,* number0 25.0,General
"A construction company ordered number0 tons of concrete, number1 tons of bricks and number2 tons of stones.How many tons did the company order?",+ + number0 number0 number2,General
"Jessica planted number0 watermelon and number1 carrots, but rabbits ate number2 kinds of watermelon.How many watermelon does Jessica have?",- number0 number2,General
"Jazmin has number0 dolls, and Geraldine has number1 dolls.How much will they have if they put dolls together?",+ number0 number1,General
"Jerry is helping the buffet restaurant workers pick up the lunch tray, but he can only carry number0 tray at a time.If he had to pick up number1 pallets from one table, and the other tray picked up number2 trays from another table, how many times he would travel?",/ + number1 number2 number0,General
Mrs .The handle measured the distance from her table to the water fountain.It is number0 feet.The lady will have a few feet.What if she travels to the fountain number1 times today and crawls and crawls?,* number0 number1,General
"Last year, number0 people were born in a country, and number1 people immigrated to the country.How many newcomers started in the country last year?",+ number0 number1,General
Cristin hovered number0 miles at a speed of number1 miles per hour.How long has Kristin hovered?,/ number0 number1,General
"Emily planted vegetables in her garden.She started to plant number1 seeds in the garden since number0 seeds, and each seed in each small garden was placed with number2 seeds.How many small gardens are Emily?",/ - number0 number1 number2,General
"Dana earns $ number0 every hour.She worked for number1 hours on Friday, number2 hours on Saturday and number3 hours on Sunday.How much does Dana make?",* number0 + + number1 number2 number3,General
"Nanxi chose number0 carrots from her garden.If she threw away number1, and then selected number2 the next day, how many beards did she have?",- + number0 number2 number1,General
