Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement,Grade,Type
"Bryan also read his book.If there are number0 books in each of the number1 bookshelves in Bryan, how many books do he have?",56.0 9.0,* number0 number1,504,"[12, 13, 14, 18, 19, 20, 27, 28, 29]","Bryan took a look at his books as well . If Bryan has number0 books in each of his number1 bookshelves ,",how many books does he have in total ?,,
"For the fifth grade, the chair is placed in number0 lines, number1 chairs per line.How many chairs have been extended in this play?",27.0 16.0,* number0 number1,432,"[11, 12, 13, 14, 15, 16, 28, 29, 30]","For the fifth grade play , the chairs have been put into number0 rows with number1 chairs in each row .",How many chairs have been put out for the play ?,,
"The park currently has number0 short trees and number1 tall trees.Park workers will plant number2 short trees today.After the workers are completed, how many short trees will there be in the park?",41.0 44.0 57.0,#NAME?,98,"[1, 2, 3, 5, 6, 7, 17, 18, 19, 33, 34, 35]",There are number0 short trees and number1 tall trees currently in the park . Park workers will plant number2 short trees today .,How many short trees will the park have when the workers are finished ?,,
"Conner has $ number0 in his bank account.He spends $ number1 a month.He did not add money to his account.number2 months later, how much is Conner in his account?",25000.0 1500.0 8.0,#NAME?,13000,"[1, 2, 3, 12, 13, 14, 34, 35, 36, 34, 35, 36]",Conner has number0 dollars in his bank account . Every month he spends number1 dollars . He does not add money to the account .,How much money will Conner have in his account after number2 months ?,,
"There are currently number0 wooden trees in the park.Park workers will grow number1 mountains and Wood trees today.After the workers are completed, how many mountains will there be in the park?",34.0 49.0,#NAME?,83,"[1, 2, 3, 13, 14, 15, 29, 30, 31]",There are number0 dogwood trees currently in the park . Park workers will plant number1 dogwood trees today .,How many dogwood trees will the park have when the workers are finished ?,,
Maggie has number0 packets of paper cup cakes.There are number1 paper cup cakes in each packaging.She ate number2 paper cup cakes.how much is left?,3.0 4.0 5.0,* number0 number1,12,"[1, 2, 3, 8, 9, 10, 16, 17, 18, 21, 22, 23]",Maggi had number0 packages of cupcakes . There are number1 cupcakes in each package . She ate number2 cupcakes .,How many are left ?,,
"You deposit $ number0 into a savings account with an annual interest rate of number1 %.In the past number2 years, how much will you have a simple interest in US dollars?",70.0 3.0 2.5,* * * number0 number1 number2 0.01,5.25,"[1, 2, 3, 14, 15, 16, 25, 26, 27, 28, 29, 30]",You deposit number0 dollars in a savings account that pays an annual interest rate of number1 % .,"How much simple interest would you earn in number2 years , in dollars ?",,
Emily collected number0 cards.Emily's father gave Emily number1 again.Bruce has number2 apples.How many cards do Emily have?,63.0 7.0 13.0,#NAME?,70,"[1, 2, 3, 9, 10, 11, 14, 15, 16, 21, 22, 23]",Emily collects number0 cards . Emily 's father gives Emily number1 more . Bruce has number2 apples .,How many cards does Emily have ?,,
"Chefs need to cook number0 potatoes.He has cooked number1.If each potato takes number2 minutes to cook, how long does it take for his remaining time?",15.0 8.0 9.0,* number2 - number0 number1,63,"[4, 5, 6, 11, 12, 13, 17, 18, 19, 30, 31, 32]","A chef needs to cook number0 potatoes . He has already cooked number1 . If each potato takes number2 minutes to cook ,",how long will it take him to cook the rest ?,,
It takes number0 apples to make number1 pie.How many apples do you need to make number2 pie?,4.0 1.0 504.0,* number0 number2,2016,"[1, 2, 3, 5, 6, 7, 16, 17, 18, 16, 17, 18]",It takes number0 apples to make number1 pie .,How many apples does it take to make number2 pies ?,,
"Isabel baked number0 Brownie cakes, but her party needed a total of number1.If she uses number2 cups of flour on each flour, how many cups of flour does she still need?",3.0 5.0 5.0,* number1 - number1 number0,10,"[1, 2, 3, 6, 7, 8, 15, 16, 17, 30, 31, 32]","Isabel baked number0 brownies , but needed number1 total for her party . If she used number2 cups of flour on each one ,",how much cups of flour does she still need ?,,
Mary is baking cake.The recipe requires number0 cups of flour and number1 cups of sugar.She has put number2 cups of flour.How many cups of flour do she need to add?,7.0 3.0 2.0,#NAME?,5,"[9, 10, 11, 14, 15, 16, 23, 24, 25, 36, 37, 38]",Mary is baking a cake . The recipe calls for number0 cups of flour and number1 cups of sugar . She already put in number2 cups of flour .,How many cups of flour does she need to add ?,,
"Rachel bought two color books.One has number0 photos and the other has number1 photos.A week later, she has coloring number2 of them.She still has to color some photos?",24.0 39.0 4.0,#NAME?,59,"[7, 8, 9, 13, 14, 15, 22, 23, 24, 34, 35, 36]",Rachel bought two coloring books . One had number0 pictures and the other had number1 . After one week she had already colored number2 of the pictures .,How many pictures does she still have to color ?,,
"Sean has number0 apples.Susan gave Sean number1 again.Later, Sean bought number2 tickets at the store.How many apples do Sean have?",9.0 8.0 18.0,#NAME?,17,"[1, 2, 3, 7, 8, 9, 14, 15, 16, 26, 27, 28]","Sean has number0 apples . Susan gives Sean number1 more . Later , Sean buys number2 tickets at the store .",How many apples does Sean have in all ?,,
DVD books can accommodate number0 DVDs.There are already number1 DVDs in this book.How many DVDs can I place this book?,126.0 81.0,#NAME?,45,"[3, 4, 5, 8, 9, 10, 23, 24, 25]",A DVD book holds number0 DVDs . There are number1 DVDs already in the book .,How many more DVDs can be put in the book ?,,
Amy started from number0 peanuts.Gerald gave Amy number1 again.How many peanuts have Amy ended?,7.0 55.0,#NAME?,62,"[2, 3, 4, 8, 9, 10, 16, 17, 18]",Amy starts with number0 peanuts . Gerald gives Amy number1 more .,How many peanuts does Amy end with ?,,
"Frank made a $ number0 trimming lawn throughout the summer.If he spent $ number1 to buy a new cutting machine blade, can he use the remaining money to buy a $ number2 game of $ number2?",19.0 11.0 2.0,/ - number0 number1 number2,4,"[1, 2, 3, 12, 13, 14, 21, 22, 23, 31, 32, 33]","Frank made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades ,",how many number2 dollar games could he buy with the money he had left ?,,
James has number0 balloon.Amy has number1 gas balls.James's balloon is better than Amy?,232.0 101.0,#NAME?,131,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",James has number0 balloons . Amy has number1 balloons .,How many more balloons does James have than Amy ?,,
Bess has number0 palaces.There are number1 crayons in each packaging.She also has number2 extra crayons.How many crayons have Beth?,4.0 10.0 6.0,* number0 number1,40,"[1, 2, 3, 9, 10, 11, 17, 18, 19, 26, 27, 28]",Beth has number0 packs of crayons . Each pack has number1 crayons in it . She also has number2 extra crayons .,How many crayons does Beth have altogether ?,,
"Biaka has number0 color books.If she gave number1 of them, but I bought number2 more, how much is she in total?",45.0 6.0 20.0,#NAME?,59,"[1, 2, 3, 9, 10, 11, 16, 17, 18, 23, 24, 25]","Bianca had number0 coloring books . If she gave away number1 of them , but then bought number2 more ,",how many would she have total ?,,
"A company invited number0 people to participate in lunch, but number1 of them did not appear.How many tables do they need if each of their tables hold number2 people?",18.0 12.0 3.0,/ - number0 number1 number2,2,"[2, 3, 4, 9, 10, 11, 23, 24, 25, 31, 32, 33]","A company invited number0 people to a luncheon , but number1 of them did n't show up . If the tables they had held number2 people each ,",how many tables do they need ?,,
"The oil pipes at the sea rupture.Before the engineer started repairing the pipeline, number0 liters of oil leaked into the water.When engineers work, the pipeline leaked number1 liters of oil.In general, how many oils are there?",6522.0 5165.0,#NAME?,11687,"[15, 16, 17, 32, 33, 34, 47, 48, 49]","An oil pipe in the sea broke . Before engineers started to fix the pipe , number0 liters of oil leaked into the water . While the engineers worked , the pipe leaked number1 liters of oil . In all ,",how many liters of oil leaked into the water ?,,
Sara saved number0 quarters from the car washing.How much beauty is Sara?,11,* number0 25.0,275,"[2, 3, 4, 14, 15, 16]",Sara has saved number0 quarters from washing cars .,How many cents does Sara have ?,,
"A construction company ordered number0 tons of concrete, number1 tons of bricks and number2 tons of stones.How many tons did the company order?",0.16666666666666666 0.16666666666666666 0.5,#NAME?,0.833333333,"[3, 4, 5, 8, 9, 10, 14, 15, 16, 28, 29, 30]","A construction company ordered number0 ton of concrete , number1 ton of bricks , and number2 ton of stone .",How many tons of material did the company order in all ?,,
"Jessica planted number0 watermelon and number1 carrots, but rabbits ate number2 kinds of watermelon.How many watermelon does Jessica have?",35.0 30.0 27.0,#NAME?,8,"[1, 2, 3, 4, 5, 6, 11, 12, 13, 18, 19, 20]","Jessica grew number0 watermelons and number1 carrots , but the rabbits ate number2 watermelons .",How many watermelons does Jessica have ?,,
"Jazmin has number0 dolls, and Geraldine has number1 dolls.How much will they have if they put dolls together?",1209.0 2186.0,#NAME?,3395,"[1, 2, 3, 6, 7, 8, 19, 20, 21]","Jazmin had number0 dolls and Geraldine had number1 dolls . If they put their dolls together ,",how many would they have ?,,
"Jerry is helping the buffet restaurant workers pick up the lunch tray, but he can only carry number0 tray at a time.If he had to pick up number1 pallets from one table, and the other tray picked up number2 trays from another table, how many times he would travel?",8.0 9.0 7.0,/ + number1 number2 number0,2,"[15, 16, 17, 27, 28, 29, 33, 34, 35, 42, 43, 44]","Jerry was helping the cafeteria workers pick up lunch trays , but he could only carry number0 trays at a time . If he had to pick up number1 trays from one table and number2 trays from another ,",how many trips will he make ?,,
Mrs .The handle measured the distance from her table to the water fountain.It is number0 feet.The lady will have a few feet.What if she travels to the fountain number1 times today and crawls and crawls?,30.0 4.0,* number0 number1,120,"[14, 15, 16, 37, 38, 39, 38, 39, 40]",Mrs. Hilt measured the distance from her desk to the water fountain . It was number0 feet .,How many feet will Mrs. Hilt walk on her trips to the fountain if she goes to the water fountain number1 times today ?,,
"Last year, number0 people were born in a country, and number1 people immigrated to the country.How many newcomers started in the country last year?",90171.0 16320.0,#NAME?,106491,"[2, 3, 4, 11, 12, 13, 26, 27, 28]","Last year , number0 people were born in a country , and number1 people immigrated to it .",How many new people began living in the country last year ?,,
Cristin hovered number0 miles at a speed of number1 miles per hour.How long has Kristin hovered?,20.0 4.0,/ number0 number1,5,"[1, 2, 3, 4, 5, 6, 12, 13, 14]",Christine wandered number0 miles at number1 miles per hour .,How long did Christine wander ?,,
"Emily planted vegetables in her garden.She started to plant number1 seeds in the garden since number0 seeds, and each seed in each small garden was placed with number2 seeds.How many small gardens are Emily?",42.0 36.0 2.0,/ - number0 number1 number2,3,"[10, 11, 12, 14, 15, 16, 29, 30, 31, 38, 39, 40]",Emily was planting vegetables in her garden . She started with number0 seeds and planted number1 of them in the big garden and in each of her small gardens put number2 seeds each .,How many small gardens did Emily have ?,,
"Dana earns $ number0 every hour.She worked for number1 hours on Friday, number2 hours on Saturday and number3 hours on Sunday.How much does Dana make?",13.0 9.0 10.0 3.0,* number0 + + number1 number2 number3,286,"[2, 3, 4, 8, 9, 10, 13, 14, 15, 19, 20, 21, 30, 31, 32]","Dana earns $ number0 per hour . She worked number1 hours on Friday , number2 hours on Saturday , and number3 hours on Sunday .",How much money did Dana earn in all ?,,
"Nanxi chose number0 carrots from her garden.If she threw away number1, and then selected number2 the next day, how many beards did she have?",12.0 2.0 21.0,#NAME?,31,"[1, 2, 3, 11, 12, 13, 17, 18, 19, 28, 29, 30]","Nancy picked number0 carrots from her garden . If she threw out number1 of them and then picked number2 more the next day ,",how many carrots would she have total ?,,
My dog has some bones.Then he dug number0 bones.Now he has number1 bones.How many bones?,367.0 860.0,#NAME?,493,"[10, 11, 12, 16, 17, 18, 24, 25, 26]","My dog had some bones . Then , he dug up number0 bones . Now he has number1 bones .",How many bones did he start with ?,,
"Becky's fish tank has number0 gallon of water.If Bekki increases number1 gallons, how many gallons are there?",7.75 7.0,#NAME?,14.75,"[1, 2, 3, 14, 15, 16, 24, 25, 26]","There are number0 gallons of water in Becky 's fish tank . If Becky adds number1 gallons more ,",how many gallons will there be in all ?,,
"When playing trivial games, Adam answered number0 questions in the first half and answered number1 questions correctly in the second half.If each problem is worth number2 points, what is his final result?",5.0 5.0 5.0,* number0 + number0 number0,50,"[7, 8, 9, 15, 16, 17, 28, 29, 30, 34, 35, 36]","While playing a trivia game , Adam answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points ,",what was his final score ?,,
"Hayley and her friends are recovering paper for their class.They get 1 point every number0 pounds.If Hayley recovered number1 pounds, and her friends recovered number2 pounds, how much do they make?",3.0 11.0 16.0,/ + number1 number2 number0,9,"[12, 13, 14, 24, 25, 26, 30, 31, 32, 37, 38, 39]","Haley and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Haley recycled number1 pounds and her friends recycled number2 pounds ,",how many points did they earn ?,,
Mike has number0 peaches on his roadside fruit plate.He went to the orchard and picked up the peach to store it.There are number1 peaches now.How much did he choose?,34.0 86.0,#NAME?,52,"[1, 2, 3, 24, 25, 26, 30, 31, 32]",Mike had number0 peaches at his roadside fruit dish . He went to the orchard and picked peaches to stock up . There are now number1 peaches .,how many did he pick ?,,
"Paige broke off some of her old winter clothes.She found number0 boxes of clothes, with number1 scarves and number2 gloves in each box.How many winter clothing is there in Paige?",6.0 5.0 5.0,* number0 + number1 number1,60,"[11, 12, 13, 21, 22, 23, 24, 25, 26, 35, 36, 37]",Paige was unboxing some of her old winter clothes . She found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens .,How many pieces of winter clothing did Paige have total ?,,
Sally saw number0 two birds in a tree.How many birds saw Sally?,1,* number0 12.0,12,"[1, 2, 3, 12, 13, 14]",Sally saw number0 dozen birds in a tree .,How many birds did Sally see ?,,
"A waiter has number0 customers in his part.If number1 of them leave, the rest of his tables have number2 people on each table. How many tables do he have?",21.0 12.0 3.0,/ - number0 number1 number2,3,"[2, 3, 4, 9, 10, 11, 20, 21, 22, 30, 31, 32]","A waiter had number0 customers in his section . If number1 of them left and the rest of his tables had number2 people at each table ,",how many tables did he have ?,,
Todd has some gum.Steve gave him number0 pieces of gum.Todd now has number1 pieces of gum.How many pieces must Todd start?,16.0 54.0,#NAME?,38,"[7, 8, 9, 16, 17, 18, 30, 31, 32]",Todd has some gum . Steve gave him number0 more pieces of gum . Now Todd has number1 pieces of gum .,How many pieces did Todd have to start with ?,,
