Problem,annotated_formula
number0 workers should finish a job in number1 days . after number2 days came number3 workers join them . how many days m do they need to finish the same job ?,"/(-(*(number0, number1), *(number2, number0)), +(number0, number3))"
"a train number0 m long passes a man , running at number1 km / hr in the same direction in which the train is going , in number2 seconds . the speed of the train is ?","/(/(-(number0, *(*(number1, 0.2778), number1)), number1), 0.2778)"
kim finds a number0 - meter tree branch and marks it off in thirds and fifths . she then breaks the branch along all the markings and removes one piece of every distinct length . what fraction of the original branch remains ?,"-(1, +(+(/(number0, *(+(2, number0), number0)), /(2, *(+(2, number0), number0))), /(1, *(+(2, number0), number0))))"
"a garrison of number0 men has provisions for number1 days . at the end of number2 days , a reinforcement arrives , and it is now found that the provisions will last only for number3 days more . what is the reinforcement ?","-(/(-(*(number0, number1), *(number0, number2)), number3), number0)"
how many seconds will a number0 meter long train moving with a speed of number1 km / hr take to cross a man walking with a speed of number2 km / hr in the direction of the train ?,"/(number0, *(-(number1, number2), 0.2778))"
"a car gets number0 miles to the gallon . if it is modified to use a solar panel , it will use only number1 percent as much fuel as it does now . if the fuel tank holds number2 gallons , how many more miles will the car be able to travel , per full tank of fuel , after it has been modified ?","-(*(*(/(number0, number1), 100), number2), *(number0, number2))"
"a fort had provision of food for number0 men for number1 days . after number2 days , number3 men left the fort . the number of days for which the remaining food will last , is :","/(*(number0, +(number3, number2)), -(number0, number3))"
a car travels at a speed of number0 miles per hour . how far will it travel in number1 hours ?,"*(number0, number1)"
a man swims downstream number0 km and upstream number1 km taking number2 hours each time ; what is the speed of the current ?,"/(+(/(number1, number2), /(number0, number2)), 2)"
vinoth can complete a painting work in number0 days . prakash can do the same work in number1 days . they start the work together but vinoth quit after number2 days of work . how many days are required to complete the remaining painting work by prakash .,"/(-(1, *(number2, /(1, number1))), /(1, number0))"
"an electric pump can fill a tank in number0 hours . because of a leak in the tank , it took number1 hours to fill the tank . if the tank is full , how much time will the leak take to empty it ?","/(number1, 1)"
"pipe a can fill a tank in number0 hours . due to a leak at the bottom , it takes number1 hours for the pipe a to fill the tank . in what time can the leak alone empty the full tank ?","/(*(number1, number0), -(number1, number0))"
number0 women can do a work in two days . number1 men can complete the same work in five days . what is the ratio between the capacity of a man and a woman ?,"/(/(1, *(number0, number1)), /(1, *(number1, 10)))"
"the length of a rectangular plot is number0 metres more than its breadth . if the cost of fencing the plot @ rs . number1.number2 per metre is rs . number3 , what is the length of the plot in metres ?","-(/(/(number3, number1.number2), 2), *(2, number0))"
number0 men can do a work in number1 days . when should number2 men leave the work so that the entire work is completed in number1 days after they leave the work ?,"/(-(*(number0, number1), *(number1, number2)), number1)"
a train number0 m long is running with a speed of number1 km / h . in how many seconds will the train pass a man who is running at number2 km / h in the direction opposite to that in which the train is going ?,"/(number0, /(+(number1, number2), 3_6))"
"two trains number0 meters and number1 meters in length respectively are running in opposite directions , one at the rate of number2 km and the other at the rate of number3 kmph . in what time will they be completely clear of each other from the moment they meet ?","/(+(number0, number1), *(+(number2, number3), 0.2778))"
a train passes a station platform in number0 sec and a man standing on the platform in number1 sec . if the speed of the train is number2 km / hr . what is the length of the platform ?,"*(number1, *(number2, 0.2778))"
"what will be the lcm of number0 , number1 , number2 and number3","*(*(*(*(*(2, 2), 2), 3), 3), 3)"
the sum of two consecutive integers is number0 . find the numbers .,"+(+(^(+(+(/(-(-(number0, 10), 2), 4), 2), 2), 2), ^(+(+(+(/(-(-(number0, 10), 2), 4), 2), 2), 2), 2)), +(^(/(-(-(number0, 10), 2), 4), 2), ^(+(/(-(-(number0, 10), 2), 4), 2), 2)))"
"two trains running in opposite directions cross a man standing on the platform in number0 seconds and number1 seconds respectively . if they cross each other in number2 seconds , what is the ratio of their speeds ?","/(-(number0, number2), -(number2, number1))"
"at sandi ’ s pet shop , number0 cups of bird seed are used every number1 days to feed number2 parakeets . how many cups of bird seed would be required to feed number3 parakeets for number4 days ?","/(*(*(number3, number0), number4), *(number1, number2))"
"one pump drains one - half of a pond in number0 hours , and then a second pump starts draining the pond . the two pumps working together finish emptying the pond in one - half hour . how long would it take the second pump to drain the pond if it had to do the job alone ?","/(1, -(1, /(1, *(number0, 2))))"
a and b go around a circular track of length number0 m on a cycle at speeds of number1 kmph and number2 kmph . after how much time will they meet for the first time at the starting point ?,"/(number0, -(*(number2, 0.2778), *(number1, 0.2778)))"
