Problem,annotated_formula
in a throw of dice what is the probability of ge æ « ng number greater than number0,"/(-(6, number0), 6)"
"given a bag with number0 red balls and number1 yellow balls , you randomly select one of them , in order . if the second ball you take is yellow , what is the probability that the first one was also yellow ?","/(number0, -(+(number0, number1), 1))"
"a bag contains number0 blue and number1 white marbles . one by one , marbles are drawn out randomly until only two are left in the bag . what is the probability that out of the two , one is white and one is blue ?","/(*(number0, number1), /(*(+(number0, number1), +(number1, 2)), 2))"
in how many ways can number0 boys be seated in a circular order ?,"-(/(/(number0, 1), 3), 3)"
"if a card is drawn from a well shuffled pack of cards , the probability of drawing a spade or a king is -","+(/(3, const_52), /(/(const_52, 4), const_52))"
"a certain junior class has number4 students and a certain senior class has number3 students . among these students , there are number2 siblings pairs each consisting of number0 junior and number0 senior . if number0 student is to be selected at random from each class , what is the probability that the number1 students selected will be a sibling pair ?","/(number0, 3)"
"what is the probability that the sum of two dice will yield a number2 , and then when both are thrown again , their sum will again yield a number2 ? assume that each die has number1 sides with faces numbered number0 to number1 .","*(/(number1, ^(number1, 2)), /(number1, ^(number1, 2)))"
number0 dice are thrown simultaneously on the board . find the probability show the same face .,"*(/(3, +(3, 3)), /(3, +(3, 3)))"
"from a pack of number1 cards , number0 card is drawn at random . what is the probability that a jack , queen , or king is drawn ?","/(*(4, 3), number1)"
in a throw of dice what is the probability of ge æ « ng number greater than number0,"/(-(6, number0), 6)"
"there are number3 balls in a jar . you take out number1 blue balls without putting them back inside , and now the probability of pulling out a blue ball is number0 / number2 . how many blue balls were there in the beginning ?","+(/(-(number3, number1), number2), number1)"
"the maitre ' d at an expensive manhattan restaurant has noticed that number1 % of the couples order dessert and coffee . however , number0 % of the couples who order dessert do n ' t order coffee . what is the probability w that the next couple the maitre ' d seats will not order dessert ?","*(-(1, /(/(number1, *(*(2, const_5), *(2, const_5))), -(1, /(number0, *(*(2, const_5), *(2, const_5)))))), *(*(2, const_5), *(2, const_5)))"
"if two dice are thrown together , the probability of getting an even number on one die and an odd number on the other is - .","/(6, *(6, 6))"
"in a certain animal population , for each of the first number1 months of life , the probability that an animal will die during that month is number0 / number2 . for a group of number3 newborn members of the population , approximately how many would be expected to survive the first number1 months of life ?","*(*(*(number3, -(number0, /(number0, number2))), -(number0, /(number0, number2))), -(number0, /(number0, number2)))"
"if number1 cards are selected at random from the deck of number5 cards then what is the probability of one of the selected cards will be king and other will be number3 ? a deck of cards has a total of number5 cards , consisting of number2 suits ; ( spades ( black ) , hearts ( red ) , diamond ( red ) s , and clubs ( black ) ) ; and number4 cards including number0 king , number0 queen and number0 jack in each suit","/(*(*(-(number2, 1), -(number2, 1)), 2), *(number5, -(number5, 1)))"
a card is drawn from a pack of number0 cards . the probability of getting a queen of spade or an ace of club is :,"/(-(number0, *(4, 4)), number0)"
"when number1 fair coins are tossed together , what is the probability of getting number0 tails ?","/(4, ^(2, number1))"
"a bag contains number0 blue and number1 white marbles . one by one , marbles are drawn out randomly until only two are left in the bag . what is the probability x that out of the two , one is white and one is blue ?","/(*(number0, number1), /(*(+(number0, number1), +(number1, 2)), 2))"
"if number0 people are selected from a group of number1 married couples , what is the probability that none of them would be married to each other ?","*(*(*(/(*(number1, 2), *(number1, 2)), /(*(number0, number0), -(*(number1, 2), 1))), /(-(*(number0, number0), 2), *(number0, number0))), /(-(-(*(number0, number0), 2), 2), -(*(number0, number0), 1)))"
in a throw of a coin find the probability of getting a tail ?,"/(1, 2)"
in how many ways can number0 people be arranged in a circle ?,"-(/(/(number0, 1), 3), 3)"
"a certain club has number2 members , including parry . one of the number2 members is chosen at random to be the president , one of the remaining number1 members is to be chosen at random to be the secretary , and one of the remaining number0 members is to be chosen at random to be the treasurer . what is the probability that parry will be either the member chose to be secretary or the member chose to be treasurer ?","+(/(1, number2), /(1, number2))"
"there is a number0 % chance sandy will visit china this year , while there is a number1 % chance that she will visit malaysia this year . what is the probability that sandy will visit either china or malaysia this year , but not both ?","/(+(number0, number1), *(*(const_5, const_5), 4))"
the main line train starts at number2.00 am and the harbor line train starts at number2.02 am . each train has the frequency of number3 minutes . if a guy goes in the morning at a random time what is the probability of he getting main line train ?,"/(-(number3, 2), number3)"
find the probability that a leap year selected at random will not have number0 sundays or mondays .,"/(2, +(3, 4))"
"a certain junior class has number1,000 students and a certain senior class has number4 students . among these students , there are number3 siblings pairs , each consisting of number1 junior and number1 senior . if number1 student is to be selected at random from each class , what is the probability that the number2 students selected at will be a sibling pair ?","/(number1, 3)"
"a box contains number0 red balls and number0 black balls . one by one , every ball is selected at random without replacement . what is the probability that the fourth ball selected is black ?","/(+(number0, number0), number0)"
"a jar contains number1 black , number1 white and number0 green balls . if you pick two balls at the same time , what ' s the probability that one ball is black and one is white ?","*(/(number1, -(+(+(number1, number1), number0), number0)), /(+(number1, number1), +(+(number1, number1), number0)))"
"in a certain animal population , for each of the first number1 months of life , the probability that an animal will die during that month is number0 / number2 . for a group of number3 newborn members of the population , approximately how many would be expected to survive the first number1 months of life ?","*(*(*(number3, -(number0, /(number0, number2))), -(number0, /(number0, number2))), -(number0, /(number0, number2)))"
in number2 year ’ s time the combined age of my number0 brothers will be number3 . what will it be in number1 year ’ s time ?,"-(number3, *(number0, -(number2, number1)))"
"on a ranch , a rancher can place a loop of rope , called a lasso , once in every number0 throws around a cow ’ s neck . what is the probability that the rancher will be able to place a lasso around a cow ’ s neck at least once in number1 attempts ?","-(1, ^(/(1, number0), number1))"
"in a garden , there are yellow and green flowers which are straight and curved . if the probability of picking a green flower is number0 / number2 and picking a straight flower is number0 / number1 , then what is the probability of picking a flower which is yellow and straight","*(-(number0, /(number0, number2)), /(number0, number1))"
three number0 faced dice are thrown together . the probability that no two dice show the same number on them is,"*(*(*(/(1, number0), /(1, number0)), /(1, number0)), /(1, number0))"
two number0 faced dice are thrown together . the probability that all the three show the same number on them is ?,"*(*(*(/(1, number0), /(1, number0)), /(1, number0)), /(1, number0))"
lola rolls a die number0 times . what is the probability that she gets a number1 on the last one of the number0 rolls ?,"-(1, *(*(/(1, 6), /(1, 6)), /(+(number1, 1), 6)))"
"two cards are drawn together from a pack of number0 cards . the probability that one is a club and other is a diamond , is :","*(/(*(/(number0, 4), /(number0, 4)), *(number0, number0)), 2)"
two dice are thrown simultaneously . what is the probability of getting two numbers whose product is even ?,"*(/(3, +(3, 3)), /(3, +(3, 3)))"
what is the probability of randomly selecting one of the shortest diagonals from all the diagonals of a regular hexagon ?,"/(*(3, 2), *(/(26, 2), *(*(3, 2), 2)))"
a card is drawn from a pack of number0 cards . the probability of getting a queen of club or a king of heart is :,"/(-(number0, *(4, 4)), number0)"
"a bag contains number1 red , number2 black and number0 white balls . what is the probability of drawing a red and a white ball in two successive draws , each ball being put back after it is drawn ?","*(*(/(number1, +(+(number1, number2), number0)), /(number0, +(+(number1, number2), number0))), 2)"
"a box contains number0 red balls and number1 black balls . one by one , every ball is selected at random without replacement . what is the probability that the fourth ball selected is black ?","/(+(number0, number1), 4)"
"if two integers x , y ( x > y ) are selected from - number1 to number0 ( inclusive ) , how many possible cases are there ?","+(+(+(+(+(+(+(number0, number1), +(number0, 2)), +(number0, 1)), number0), number1), 2), 1)"
"a bag consists of number2 marbles , of which number0 are blue , number1 are red , and the remainder are white . if lisa is to select a marble from the bag at random , what is the probability that the marble will be red or white ?","/(+(-(number2, +(number0, number1)), number1), number2)"
"a certain junior class has number1,000 students and a certain senior class has number4 students . among these students , there are number3 siblings pairs , each consisting of number1 junior and number1 senior . if number1 student is to be selected at random from each class , what is the probability that the number2 students selected at will be a sibling pair ?","/(number1, 3)"
three coins are tossed . find the probability of at most number0 tails ?,"/(number0, ^(2, number0))"
"if a certain coin is flipped , the probability that the coin will land heads is number0 / number1 . if the coin is flipped number3 times , what is the probability that it will land heads up on the first number2 flips but not on the last number2 flips ?","^(/(number0, number1), number3)"
"in a bag containing number1 balls , a white ball was placed and then number0 ball was taken out at random . what is theprobability that the extracted ball would turn onto be white , if all possible hypothesisconcerning the color of the balls that initially in the bag were equally possible ?","/(+(number0, +(/(number0, 2), +(/(number0, +(number0, number1)), /(number1, +(number0, number1))))), +(number0, number1))"
"x , y , and z are all unique numbers . if x is chosen randomly from the set { number0 , number1 , number2 , number3 } and y and z are chosen randomly from the set { number4 , number5 , number6 , number7 } , what is the probability that x and y are prime and z is not ?","*(/(1, 2), /(1, 4))"
"a bag consists of number2 marbles , of which number0 are blue , number1 are red , and the remainder are white . if lisa is to select a marble from the bag at random , what is the probability that the marble will be red or white ?","/(+(-(number2, +(number0, number1)), number1), number2)"
"when tossed , a certain coin has an equal probability of landing on either side . if the coin is tossed number0 times , what is the probability that it will land on the same side each time ?","+(^(/(1, 2), number0), ^(/(1, 2), number0))"
"find the probability that a number selected from numbers number0 , number1 , number2 , . . . , number3 is a prime number , when each of the given numbers is equally likely to be selected ?","/(*(3, const_5), number3)"
"on a ranch , a rancher can place a loop of rope , called a lasso , once in every number0 throws around a cow ’ s neck . what is the probability that the rancher will be able to place a lasso around a cow ’ s neck at least once in number1 attempts ?","-(1, ^(/(1, number0), number1))"
"find the probability that a number selected from numbers number0 , number1 , number2 , . . . , number3 is a prime number , when each of the given numbers is equally likely to be selected ?","/(*(number2, const_5), number3)"
"a quiz has one mcq question with a , b and c as options . and two questions with true / false answers . what is the probability of giving all number0 answers correct ?","*(/(1, 2), *(/(1, 3), /(1, 2)))"
"when tossed , a certain coin has equal probability of landing on either side . if the coin is tossed number0 times , what is the probability that it will land on the same side each time ?","/(1, ^(2, number0))"
"when you draw number0 dices together , find the probability of getting a total of number1 ?","+(/(number0, ^(number1, number0)), /(3, ^(number1, number0)))"
"wink , inc . follows a certain procedure that requires two tasks to be finished independently in order for a job to be done . on any given day , there is a number3 / number4 probability that task number0 will be completed on time , and a number0 / number2 probability that task number1 will be completed on time . on a certain day , what is the probability that task number0 will be completed on time , but task number1 will not ?","*(/(number3, number4), -(number0, /(number0, number3)))"
"when tossed , a certain coin has an equal probability of landing on either side . if the coin is tossed number0 times , what is the probability that it will land on the same side each time ?","+(^(/(1, 2), number0), ^(/(1, 2), number0))"
"x , y , and z are all unique numbers . if x is chosen randomly from the set { number0 , number1 , number2 , number3 , number4 , number5 , number6 } and y and z are chosen randomly from the set { number7 , number8 , number9 , number10 } , what is the probability that x and y are prime and z is not ?","*(/(2, number0), /(1, 4))"
three number0 faced dice are thrown together . the probability that all the three show the same number on them is ?,"*(*(*(/(1, number0), /(1, number0)), /(1, number0)), /(1, number0))"
"set a contains number1 different positive odd integers and number2 different positive even integers . set b contains two different positive odd integers and number0 different positive even integers . if one integer from set a and one integer from set b are chosen at random , what is the probability that the product of the chosen integers is even ?","-(1, *(/(2, +(2, 3)), /(number1, +(number1, number2))))"
"a box contains number0 red balls and number0 black balls . one by one , every ball is selected at random without replacement . what is the probability that the fourth ball selected is black ?","/(+(number0, number0), number0)"
"if two integers x , y ( x > y ) are selected from - number1 to number0 ( inclusive ) , how many possible cases are there ?","+(+(+(+(+(+(+(number0, number1), +(number0, 2)), +(number0, 1)), number0), number1), 2), 1)"
four dice are thrown simultaneously . find the probability that all of them show the same face .,"*(/(3, +(3, 3)), /(3, +(3, 3)))"
"bill and jane play a simple game involving two fair dice , each of which has number1 sides numbered from number0 to number1 ( with an equal chance of landing on any side ) . bill rolls the dice and his score is the total of the two dice . jane then rolls the dice and her score is the total of her two dice . if jane ’ s score is higher than bill ’ s , she wins the game . what is the probability the jane will win the game ?","/(-(number0, /(+(*(/(*(*(-(number1, number0), number1), +(*(-(number1, number0), 2), number0)), number1), 2), *(number1, number1)), ^(*(number1, number1), 2))), 2)"
"a string of number2 light bulbs is wired in such a way that if any individual light bulb fails , the entire string fails . if for each individual light bulb the probability of failing during time period t is number0.05 , what is the probability that the string of light bulbs will fail during the time period t ?","-(1, ^(-(1, number0.05), number2))"
"a bag contains number0 blue and number1 white marbles . one by one , marbles are drawn out randomly until only two are left in the bag . what is the probability q that out of the two , one is white and one is blue ?","/(*(number0, number1), /(*(+(number0, number1), +(number1, 2)), 2))"
number1 animals of a circus has to be placed inside in number1 cages one in each cage . if number0 of the cage are too small for number1 of the animal then find the number of ways of caging the animal .,"*(*(number1, number0), 10)"
if you throw two dice at a same time . can you find the probability of getting sum as number0 of the two numbers shown ?,"+(+(/(1, ^(6, 2)), /(1, ^(6, 2))), /(1, ^(6, 2)))"
"there is a number0 % chance sandy will visit china this year , while there is a number1 % chance that she will visit malaysia this year . what is the probability that sandy will visit either china or malaysia this year , but not both ?","/(+(number0, number1), *(*(const_5, const_5), 4))"
in a lottery there are number0 prizes and number1 blanks . a lottery is drawn at random . what is the probability of getting a blank ?,"/(number1, +(number0, number1))"
persons a and b . person a picks a random no . from number0 to number1 . then person b picks a random no . from number0 to number1 . what is the probability of b getting no . greater then what a has picked .,"/(-(1, /(number0, number1)), 2)"
"a certain club has number2 members , including jarry . one of the number2 members is chosen at random to be the president , one of the remaining number1 members is to be chosen at random to be the secretary , and one of the remaining number0 members is to be chosen at random to be the treasurer . what is the probability that jarry will be either the member chose to be secretary or the member chose to be treasurer ?","-(1, +(/(1, number2), *(*(/(number1, number2), /(number0, number1)), /(-(number0, 1), number0))))"
two dice are thrown simultaneously . what is the probability of getting two numbers whose product is not an even ?,"*(/(3, +(3, 3)), /(3, +(3, 3)))"
"if number0 consecutive letters are selected at random from the english alphabet , then the probability that one of the letters is a vowel is ?","-(1, /(6, -(26, 3)))"
there are number1 girls and number0 chairs . in how many ways girls can occupy the chairs ?,"/(number1, number0)"
"on a windy day , out of every number2 sand dunes formed , only number0 remains . out of number3 blown - out sand - dunes , number0 has treasure and only number1 out of number2 sand dunes formed have lucky coupons . find the probability that the blown - out sand dune will contain both the things .","*(-(1, /(number0, number2)), *(/(number1, number2), /(number0, number3)))"
"in a certain animal population , for each of the first number1 months of life , the probability that an animal will die during that month is number0 / number2 . for a group of number3 newborn members of the population , approximately how many would be expected to survive the first number1 months of life ?","*(*(*(number3, -(number0, /(number0, number2))), -(number0, /(number0, number2))), -(number0, /(number0, number2)))"
"in a single throw of a die , what is probability of getting a number greater than number0 ?","/(2, +(number0, 2))"
in number2 year ’ s time the combined age of my number0 brothers will be number3 . what will it be in the number1 year ’ s time ?,"+(-(number3, *(number2, number0)), *(number1, number0))"
"what is the probability that the sum of two dice will yield a number2 , and then when both are thrown again , their sum will again yield a number2 ? assume that each die has number1 sides with faces numbered number0 to number1 .","*(/(number1, ^(number1, 2)), /(number1, ^(number1, 2)))"
"in a certain animal population , for each of the first number1 months of life , the probability that an animal will die during that month is number0 / number2 . for a group of number3 newborn members of the population , approximately how many would be expected to survive the first number1 months of life ?","*(*(*(number3, -(number0, /(number0, number2))), -(number0, /(number0, number2))), -(number0, /(number0, number2)))"
three coins are tossed . find the probability of at least number0 head and number0 tail ?,"*(4, *(/(1, number0), /(1, number0)))"
"if a certain coin is flipped , the probability that the coin will land heads is number0 / number1 . if the coin is flipped number3 times , what is the probability that it will land heads up on the first number1 flips but not on the last number2 flips ?","^(/(number0, number1), number3)"
"the maitre ' d at an expensive manhattan restaurant has noticed that number1 % of the couples order dessert and coffee . however , number0 % of the couples who order dessert do n ' t order coffee . what is the probability q that the next couple the maitre ' d seats will not order dessert ?","*(-(1, /(/(number1, *(*(2, const_5), *(2, const_5))), -(1, /(number0, *(*(2, const_5), *(2, const_5)))))), *(*(2, const_5), *(2, const_5)))"
"in a certain animal population , for each of the first number1 months of life , the probability that an animal will die during that month is number0 / number2 . for a group of number3 newborn members of the population , approximately how many would be expected to survive the first number1 months of life ?","*(*(*(number3, -(number0, /(number0, number2))), -(number0, /(number0, number2))), -(number0, /(number0, number2)))"
"a box contains number0 red balls and number1 black balls . one by one , every ball is selected at random without replacement . what is the probability that the fourth ball selected is black ?","/(+(number0, number1), number1)"
"a box contains number0 red balls and number1 black balls . one by one , every ball is selected at random without replacement . what is the probability that the fourth ball selected is black ?","/(+(number0, number1), number1)"
